filename,Correct,Human
image_0000.jpg,CONFUSION NOT IN FIRST,CONFUSION IN FIRST
image_0001.jpg,CONFUSION NOT IN FIRST,CONFUSION IN FIRST
image_0002.jpg,CONFUSION NOT IN FIRST,CONFUSION IN FIRST
image_0003.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0004.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0005.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0006.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0007.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0008.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0009.jpg,FIRST NOT FOUND,FIRST IDENTIFY
image_0010.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0011.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0012.jpg,FIRST NOT FOUND,FIRST IDENTIFY
image_0013.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0014.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0015.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0016.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0017.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0018.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0019.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0020.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0021.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0022.jpg,FIRST IDENTIFY,FIRST NOT FOUND
image_0023.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0024.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0025.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0026.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0027.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0028.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0029.jpg,FIRST NOT FOUND,FIRST IDENTIFY
image_0030.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0031.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0032.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0033.jpg,FIRST AND SECOND,HUMAN AND FIRST AND SECOND
image_0034.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0035.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0036.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0037.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
image_0038.jpg,CONFUSION NOT IN FIRST,HUMAN AND CONFUSION
